"Family Video","http://www.familyvideo.com/catalog/pod_history.php",,"Electronics / Computers","N",,"N",,
"Field Junky","http://www.fieldjunky.com/",,"Outdoors / Sports","N",,"Y","http://www.fieldjunky.com/Affiliates-Program",
"Flowers to Flourishes","http://www.flowerstoflourishes.com/",,"Household","N",,"N",,
"Fourteen Stix","http://www.14stix.com/",,"Outdoors / Sports","Y","http://feeds2.feedburner.com/14stix","N",,
"Fraction Price","http://www.fractionprice.com/cust/dailydealsteal.asp",,"Clothing / Jewelry","Y","http://www.fractionprice.com/cust/RSSDDS.ASP","Y","http://www.fractionprice.com/cust/affiliatesignup.asp?d=0&rid=TDxISTuGgFA-nwkvFlmftfQqwcpgUP6XLQ",
"Fragrance Brand","http://www.fragrancebrand.com/",,"Household","Y","http://www.fragrancebrand.com/feed/","N",,
"Friends and Family Circle","https://www.friendsandfamilycircle.com/",,"?","N",,"N",,
"Froobi","http://www.froobi.com/",,"?","N",,"N",,
"Froobi Watch","http://www.froobi.com/watch-1.html",,"Clothing / Jewelry","N",,"N",,
"Fruper!","http://fruper.com/",,"?","N",,"N",,
"Fububling","http://www.fububling.com/",,"?","N",,"N",,
"Game Access","http://gameaccess.ca/Game-Store-DealOfTheDay.htm",,"Electronics / Computers","N",,"Y","http://www.gameaccesscash.com/",
"Game Deal Daily","http://www.gamedealdaily.com/",,"Electronics / Computers","Y","http://www.gamedealdaily.com/rss/","N",,
"Game du jour","http://www.gamedujour.com/",,"Electronics / Computers","Y","http://www.gamedujour.com/feed","N",,
"Game Giveaway of the Day","http://game.giveawayoftheday.com/",,"Electronics / Computers","Y","http://game.giveawayoftheday.com/feed/","N",,
"Gardens Alive!","http://www.gardensalive.com/",,"Household","N",,"Y","http://www.gardensalive.com/article.asp?ai=175",
"gearSlash","http://www.gearslash.com/",,"Outdoors / Sports","N",,"Y","http://www.solsticesupply.com/servlet/the-template/affiliate_program/Page",
"GearXS","http://www.gearxs.com/store/",,"Electronics / Computers","Y","(bottom of page)","N",,"Multiple deals - see site"
"Geeks.com","http://www.geeks.com/one-day-deal/",,"Electronics / Computers","Y","http://feeds.feedburner.com/GeekscomPromotionsBlog?format=xml","Y","http://www.geeks.com/affiliates/",
"Gemnation","http://www.gemnation.com/watches/Deal-Of-The-Day.html",,"Clothing / Jewelry","Y","http://www.gemnation.com/watches/Deal-Of-The-Day.rss","N",,
"Get A Jacket Now","http://www.getajacketnow.com/",,"Clothing / Jewelry","Y","http://www.getajacketnow.com/rss.xml","N",,
"Get a Rock","http://getarock.com/",,"Clothing / Jewelry","N",,"N",,
"getzs","http://www.getzs.com/",,"Clothing / Jewelry","N",,"Y","http://www.getzs.com/Commision-Junction/help/58/",
"Giftsprings","http://www.giftsprings.com/index.html",,"Household","N",,"Y","http://www.giftsprings.com/Merchant2/merchant.mv?Screen=CTGY&Category_Code=AFFILPGM",
"Give Me Jewels","http://www.givemejewels.com/",,"Clothing / Jewelry","N",,"N",,
"Giveaway of the Day","http://www.giveawayoftheday.com/",,"Electronics / Computers","Y","http://www.giveawayoftheday.com/feed/","N",,
"GoDaddy.com","(need to sign up for it)",,,,,,,
"goingTODAY","http://www.goingtoday.com/",,"?","Y","http://www.goingtoday.com/rssfeed.cfm","N",,
"Golf Discount","http://www.golfdiscount.com/deal_of_the_day",,"Outdoors / Sports","N",,"Y","http://www.golfdiscount.com/affiliate",
"golfballs.com","http://www.golfballs.com/DealADay.aspx",,"Outdoors / Sports","N",,"N",,
"Golfsmith","http://www.golfsmith.com/",,"Outdoors / Sports","N",,"Y","https://signup.cj.com/member/brandedPublisherSignUp.do?air_refmerchantid=1169237",
"Good Deals 18","http://www.gooddeals18.com/category/deal_of_the_day/",,"Electronics / Computers","N",,"N",,
"Grab My Deal","http://www.grabmydeal.com/index.php/current-deal.html",,"?","N",,"N",,
"GraveyardMall","http://www.graveyardmall.com/categories/Daily-Deal/",,"?","Y","http://www.graveyardmall.com/pages/RSS.html","N",,
"GreaTiming","http://www.greattiming.net/side_bar_special",,"Clothing / Jewelry","N",,"N",,
"GreenSteal","http://www.greensteal.com/",,"Household","Y","http://www.greensteal.com/images/xml/133/rss.xml","N",,
"Handbag Steals","http://www.handbagsteals.com",,"Clothing / Jewelry","Y","http://www.handbagsteals.com/deal/feed","N",,
"Happy Home","http://www.ehappyhome.info/",,"Household","N",,"N",,
